period,scenario,hdd_assumption,week_of_year,forecast_weekly_change_bcf,forecast_inventory_bcf,assumed_hdd_anomaly,weather_beta,as_of_date
2026-10-30,Mild,Mild weather,44,51.45708191008346,4093.7879703612666,-14.625,-1.414229728248382,2026-05-29
2026-11-06,Mild,Mild weather,45,53.37944992522823,4147.167420286495,-21.994642857142853,-1.414229728248382,2026-05-29
2026-11-13,Mild,Mild weather,46,6.716187250604801,4153.8836075371,-20.94711538461538,-1.414229728248382,2026-05-29
2026-11-20,Mild,Mild weather,47,-6.754555782302091,4147.129051754798,-20.10000000000001,-1.414229728248382,2026-05-29
2026-11-27,Mild,Mild weather,48,-23.850405451411373,4123.278646303386,-17.87878787878789,-1.414229728248382,2026-05-29
2026-12-04,Mild,Mild weather,49,-86.69479441380982,4036.5838518895766,-12.653439153439145,-1.414229728248382,2026-05-29
2026-12-11,Mild,Mild weather,50,-91.2992116546347,3945.284640234942,-27.17155172413792,-1.414229728248382,2026-05-29
2026-12-18,Mild,Mild weather,51,-90.87084575231964,3854.413794482622,-27.05661764705883,-1.414229728248382,2026-05-29
2026-12-25,Mild,Mild weather,52,-23.775811565486563,3830.637982917136,-48.77976190476191,-1.414229728248382,2026-05-29
2027-01-01,Mild,Mild weather,53,15.715690445441757,3846.3536733625774,-13.35689655172414,-1.414229728248382,2026-05-29
2027-01-08,Mild,Mild weather,1,-67.46002866992497,3778.893644692652,-41.80909090909091,-1.414229728248382,2026-05-29
2027-01-15,Mild,Mild weather,2,-118.38191464482784,3660.5117300478246,-27.87606837606839,-1.414229728248382,2026-05-29
2027-01-22,Mild,Mild weather,3,-124.8386988598178,3535.673031188007,-34.00919540229886,-1.414229728248382,2026-05-29
2027-01-29,Mild,Mild weather,4,-150.40324413746544,3385.2697870505417,-24.079545454545453,-1.414229728248382,2026-05-29
2027-02-05,Mild,Mild weather,5,-132.80996789772954,3252.459819152812,-30.86293859649122,-1.414229728248382,2026-05-29
